"finish_time","barrier_time","resids"
433,123,-5.32170358774976
410,119,-14.3103883739821
471,131,4.65566598532484
385,110,-7.78492914354266
554,157,-3.41788290274398
421,120,-6.81321717741528
439,128,-16.8358476045134
471,137,-16.3613068349987
469,135,-11.3556492282242
406,116,-7.80190196386623
443,125,-2.32736119435159
401,116,-12.8019019638662
456,132,-13.8471628180624
404,117,-13.3047307672535
385,109,-4.28210034015539
469,130,6.1584947887121
383,110,-9.78492914354266
500,141,-1.37262204854778
384,108,-1.77927153676812
522,148,-3.89242367225861
472,135,-8.35564922822421
426,122,-8.8188747841898
445,124,3.17546760903568
437,125,-8.32736119435159
418,121,-13.3160459808025
447,129,-12.3386764079006
403,112,3.20941324968282
515,139,20.6330355582267
579,167,-13.4461709366166
412,116,-1.80190196386623
512,141,10.6273779514522
461,131,-5.34433401467516
443,124,1.17546760903568
428,122,-6.8188747841898
445,128,-10.8358476045134
599,175,-21.4688013637147
489,141,-12.3726220485478
407,116,-6.80190196386623
455,131,-11.3443340146752
477,135,-3.35564922822421
479,135,-1.35564922822421
478,140,-19.8697932451605
417,118,-3.80755957064075
466,131,-0.344334014675162
436,124,-5.82453239096433
425,118,4.19244042935925
482,138,-8.864135638386
483,139,-11.3669644417733
416,118,-4.80755957064075
467,135,-13.3556492282242
489,138,-1.864135638386
429,120,1.18678282258472
385,110,-7.78492914354266
399,114,-7.7962443570917
386,110,-6.78492914354266
499,136,15.1415219683885
512,148,-13.8924236722586
385,111,-11.2877579469299
515,146,-3.88676606548409
512,146,-6.88676606548409
407,113,3.70658444629556
394,111,-2.28775794692992
464,131,-2.34433401467516
450,123,11.6782964124229
466,130,3.1584947887121
532,149,2.60474752435413
546,151,9.59908991757961
442,126,-6.83018999773885
457,129,-2.33867640790063
457,130,-5.8415052112879
461,133,-12.3499916214497
396,113,-7.29341555370444
390,112,-9.79058675031718
378,109,-11.2821003401554
395,112,-4.79058675031718
536,154,-10.9093964925822
409,119,-15.310388374028
469,133,-4.34999162144969
389,112,-10.7905867503172
437,124,-4.82453239096433
473,136,-10.8584780316115
438,125,-7.32736119435159
479,135,-1.35564922822421
458,130,-4.8415052112879
467,131,0.655665985324838
459,132,-10.8471628180624
471,132,1.15283718193758
450,128,-5.83584760451337
472,131,5.65566598532484
546,155,-4.41222529596945
428,120,0.186782822584724
483,137,-4.36130683499874
459,129,-0.338676407900636
435,123,-3.32170358757706
430,123,-8.32170358757706
544,151,7.5990899175796
472,132,2.15283718193758
468,131,1.65566598532484
439,122,4.1811252158102
435,125,-10.3273611943516
420,120,-7.81321717741528
439,125,-6.32736119435159
431,124,-10.8245323909643
384,112,-15.7905867503172
434,122,-0.818874784189799
432,126,-16.8301899977388
386,111,-10.2877579469299
444,128,-11.8358476045134
449,130,-13.8415052112879
393,112,-6.79058675031718
447,129,-12.3386764079006
454,130,-8.8415052112879
447,125,1.67263880564841
502,141,0.627377951452218
531,150,-1.89808127903314
372,107,-10.2764427333809
403,118,-17.8075595706407
409,119,-15.310388374028
467,136,-16.8584780316115
450,126,1.16981000226115
398,110,5.21507085645734
386,112,-13.7905867503172
466,130,3.1584947887121
414,117,-3.30473076725349
503,140,5.13020675483948
527,150,-5.89808127903314
482,137,-5.36130683499874
400,118,-20.8075595706407
462,132,-7.84716281806242
379,109,-10.2821003401554
490,139,-4.36696444177326
403,117,-14.3047307672535
401,116,-12.8019019638662
403,111,6.71224205307008
448,128,-7.83584760451337
467,130,4.1584947887121
462,126,13.1698100022611
403,116,-10.8019019638662
385,108,-0.779271536768124
417,111,20.7122420530701
441,124,-0.824532390964325
430,124,-11.8245323909643
488,144,-23.8811084587096
475,134,-1.85282042483695
416,119,-8.31038837402802
406,116,-7.80190196386623
452,133,-21.3499916214497
472,134,-4.85282042483695
403,106,24.2263860700064
466,129,6.66132359209936
501,142,-3.87545085193504
442,127,-10.3330188011261
424,120,-3.81321717741528
487,139,-7.36696444177326
486,140,-11.8697932451605
480,134,3.14717957516305
455,128,-0.835847604513374
465,132,-4.84716281806242
407,115,-3.29907316047896
483,132,13.1528371819376
471,127,18.6669811988739
440,126,-8.83018999773885
479,136,-4.85847803161147
437,122,2.1811252158102
487,135,6.64435077177579
502,142,-2.87545085193504
479,138,-11.864135638386
459,129,-0.338676407900636
470,128,14.1641523954866
423,116,9.19809803613377
459,131,-7.34433401467516
479,130,16.1584947887121
453,125,7.67263880564841
472,129,12.6613235920994
530,149,0.604747524354126
465,132,-4.84716281806242
433,117,15.6952692327465
485,134,8.14717957516305
507,138,16.135864361614
474,129,14.6613235920994
522,145,6.61606273790318
452,128,-3.83584760451337
423,115,12.700926839521
483,129,23.6613235920994
492,142,-12.875450851935
502,134,25.147179575163
478,136,-5.85847803161147
487,136,3.14152196838853
502,142,-2.87545085193504
421,117,3.69526923274651
437,117,19.6952692327465
462,129,2.66132359209936
469,129,9.66132359209936
478,135,-2.35564922822421
465,126,16.1698100022612
493,145,-22.3839372620968
490,134,13.147179575163
514,137,26.6386931650013
462,131,-4.34433401467516
454,122,19.1811252158102
471,131,4.65566598532484
460,128,4.16415239548662
463,126,14.1698100022611
447,126,-1.83018999773885
500,140,2.13020675483948
408,116,-5.80190196386623
472,133,-1.34999162144969
445,127,-7.33301880112611
508,138,17.135864361614
455,128,-0.835847604513374
503,134,26.147179575163
481,139,-13.3669644417733
459,127,6.66698119887389
497,135,16.6443507717758
475,128,19.1641523954866
466,129,6.66132359209936
426,111,29.7122420530701
452,129,-7.33867640790063
424,120,-3.81321717741528
491,136,7.14152196838853
444,122,9.1811252158102
531,151,-5.4009100824204
474,137,-13.3613068349987
438,123,-0.321703587577063
465,133,-8.34999162144969
493,137,5.63869316500126
449,126,0.169810002261151
491,139,-3.36696444177326
447,128,-8.83584760451337
408,111,11.7122420530701
476,133,2.65000837855032
490,135,9.64435077177579
432,121,0.683954019197463
528,149,-1.39525247564587
501,137,13.6386931650013
482,131,15.6556659853248
463,127,10.6669811988739
404,115,-6.29907316047896
429,121,-2.31604598080254
445,126,-3.83018999773885
417,116,3.19809803613377
523,149,-6.39525247564587
442,126,-6.83018999773885
430,118,9.19244042935925
390,108,4.22072846323188
459,130,-3.8415052112879
407,114,0.203755642908298
438,124,-3.82453239096432
423,118,2.19244042935925
419,112,19.2094132496828
455,128,-0.835847604513374
390,109,0.71789965984461
416,120,-11.8132171774153
549,153,5.59343231080507
499,137,11.6386931650013
451,129,-8.33867640790063
516,141,14.6273779514522
425,119,0.689611625971986
476,133,2.65000837855032
431,123,-7.32170358757706
511,142,6.12454914806496
410,114,3.2037556429083
404,113,0.706584446295558
463,129,3.66132359209936
579,166,-9.94334213322933
433,121,1.68395401919746
429,119,4.68961162597199
513,141,11.6273779514522
439,121,7.68395401919746
472,132,2.15283718193758
407,112,7.20941324968282
422,122,-12.8188747841898
454,122,19.1811252158102
411,116,-2.80190196386623
474,136,-9.85847803161147
408,112,8.20941324968282
412,112,12.2094132496828
494,144,-17.8811084587096
438,120,10.1867828225847
425,117,7.69526923274651
404,113,0.706584446295558
479,135,-1.35564922822421
472,128,16.1641523954866
430,116,16.1980980361338
447,122,12.1811252158102
524,142,19.124549148065
424,120,-3.81321717741528
398,113,-5.29341555370444
417,116,3.19809803613377
468,128,12.1641523954866
430,120,2.18678282258472
525,140,27.1302067548395
461,131,-5.34433401467516
411,111,14.7122420530701
467,132,-2.84716281806242
424,110,31.2150708564573
519,142,14.124549148065
432,120,4.18678282258472
422,120,-5.81321717741528
421,114,14.2037556429083
413,114,6.20375564290829
402,110,9.21507085645734
471,133,-2.34999162144969
439,119,14.689611625972
423,120,-4.81321717741528
563,158,2.07928829386876
422,121,-9.31604598080254
584,169,-15.4518285433911
527,145,11.6160627379032
424,118,3.19244042935925
468,132,-1.84716281806242
420,118,-0.807559570640751
468,134,-8.85282042483695
459,123,20.6782964124229
474,124,32.1754676090357
412,115,1.70092683952103
423,116,9.19809803613377
504,138,13.135864361614
387,111,-9.28775794692992
399,112,-0.790586750317176
421,122,-13.8188747841898
453,127,0.666981198873889
414,117,-3.30473076725349
415,111,18.7122420530701
408,117,-9.30473076725348
443,120,15.1867828225847
446,124,4.17546760903567
459,128,3.16415239548662
471,138,-19.864135638386
435,122,0.181125215810201
404,112,4.20941324968282
468,134,-8.85282042483695
399,110,6.21507085645734
427,121,-4.31604598080254
431,124,-10.8245323909643
445,126,-3.83018999773885
388,112,-11.7905867503172
394,115,-16.299073160479
414,117,-3.30473076725349
449,126,0.169810002261151
472,136,-11.8584780316115
388,109,-1.28210034015539
405,110,12.2150708564573
423,119,-1.31038837402801
438,125,-7.32736119435159
386,111,-10.2877579469299
438,124,-3.82453239096432
437,120,9.18678282258472
476,139,-18.3669644417733
456,130,-6.8415052112879
398,113,-5.29341555370444
404,112,4.20941324968282
423,121,-8.31604598080254
434,123,-4.32170358757706
441,125,-4.32736119435159
409,111,12.7122420530701
396,113,-7.29341555370444
474,136,-9.85847803161147
421,112,21.2094132496828
400,112,0.209413249682824
392,108,6.22072846323188
458,131,-8.34433401467516
392,109,2.71789965984461
434,120,6.18678282258472
433,123,-5.32170358757706
411,114,4.20375564290829
416,120,-11.8132171774153
409,115,-1.29907316047896
395,111,-1.28775794692992
425,123,-13.3217035875771
419,123,-19.3217035875771
475,136,-8.85847803161147
421,121,-10.3160459808025
457,125,11.6726388056484
440,117,22.6952692327465
381,109,-8.28210034015539
394,110,1.21507085645734
476,138,-14.864135638386
421,121,-10.3160459808025
388,109,-1.28210034015539
408,114,1.2037556429083
425,116,11.1980980361338
452,121,20.6839540191975
389,111,-7.28775794692992
398,113,-5.29341555370444
425,124,-16.8245323909643
438,125,-7.32736119435159
456,131,-10.3443340146752
482,136,-1.85847803161147
436,126,-12.8301899977389
389,111,-7.28775794692992
382,110,-10.7849291435427
396,111,-0.287757946929916
404,116,-9.80190196386623
438,121,6.68395401919746
433,126,-15.8301899977389
427,122,-7.8188747841898
440,124,-1.82453239096432
384,111,-12.2877579469299
392,111,-4.28775794692992
457,131,-9.34433401467516
440,124,-1.82453239096432
411,118,-9.80755957064075
410,118,-10.8075595706407
399,112,-0.790586750317176
416,118,-4.80755957064075
427,122,-7.8188747841898
440,126,-8.83018999773885
442,125,-3.32736119435159
540,162,-34.9320269196803
501,146,-17.8867660654841
381,109,-8.28210034015539
492,133,18.6500083785503
427,127,-25.3330188011261
456,127,3.66698119887389
471,137,-16.3613068349987
396,117,-21.3047307672535
538,156,-15.9150540993567
401,116,-12.8019019638662
438,125,-7.32736119435159
439,124,-2.82453239096432
391,111,-5.28775794692992
417,118,-3.80755957064075
427,116,13.1980980361338
372,107,-10.2764427333809
458,129,-1.33867640790063
405,116,-8.80190196386623
445,129,-14.3386764079006
385,110,-7.78492914354266
424,123,-14.3217035875771
467,130,4.1584947887121
429,121,-2.31604598080254
403,117,-14.3047307672535
445,124,3.17546760903568
414,120,-13.8132171774153
478,136,-5.85847803161147
481,134,4.14717957516305
433,120,5.18678282258472
409,116,-4.80190196386623
420,121,-11.3160459808025
441,125,-4.32736119435159
469,130,6.1584947887121
491,139,-3.36696444177326
432,124,-9.82453239096433
423,119,-1.31038837402801
437,128,-18.8358476045134
456,132,-13.8471628180624
389,112,-10.7905867503172
488,145,-27.3839372620968
445,123,6.67829641242294
427,119,2.68961162597199
457,132,-12.8471628180624
440,126,-8.83018999773885
389,111,-7.28775794692992
508,146,-10.8867660654841
400,114,-6.7962443570917
379,108,-6.77927153676812
465,125,19.6726388056484
530,150,-2.89808127903314
447,128,-8.83584760451337
386,108,0.220728463231876
461,126,12.1698100022611
402,115,-8.29907316047896
397,111,0.712242053070084
469,133,-4.34999162144969
395,114,-11.7962443570917
378,106,-0.773613929993604
450,131,-16.3443340146752
451,138,-39.864135638386
465,131,-1.34433401467516
445,124,3.17546760903568
374,107,-8.27644273338086
385,112,-14.7905867503172
436,125,-9.32736119435159
479,133,5.65000837855032
506,143,-2.3782796553223
520,139,25.6330355582267
423,117,5.69526923274651
390,110,-2.78492914354266
477,131,10.6556659853248
434,120,6.18678282258472
445,125,-0.327361194351587
406,110,13.2150708564573
465,128,9.16415239548662
502,140,4.13020675483948
481,131,14.6556659853248
498,144,-13.8811084587096
464,133,-9.34999162144969
444,124,2.17546760903568
468,131,1.65566598532484
483,129,23.6613235920994
459,129,-0.338676407900636
401,113,-2.29341555370444
417,119,-7.31038837402802
446,125,0.672638805648413
404,114,-2.7962443570917
469,129,9.66132359209936
549,152,9.09626111419234
446,124,4.17546760903567
577,166,-11.9433421332293
559,159,-5.42354050951849
462,132,-7.84716281806242
395,110,2.21507085645734
409,112,9.20941324968282
416,115,5.70092683952103
486,135,5.64435077177579
557,153,13.5934323108051
559,156,5.08494590064329
582,167,-10.4461709366166
505,144,-6.88110845870957
510,141,8.62737795145222
452,125,6.67263880564841
415,115,4.70092683952103
430,116,16.1980980361338
505,140,7.13020675483948
416,122,-18.8188747841898
462,131,-4.34433401467516
480,137,-7.36130683499874
455,125,9.67263880564841
529,148,3.10757632774139
448,124,6.17546760903567
529,151,-7.4009100824204
407,111,10.7122420530701
462,129,2.66132359209936
494,139,-0.366964441773262
490,142,-14.875450851935
461,129,1.66132359209936
483,130,20.1584947887121
435,124,-6.82453239096433
549,152,9.09626111419234
497,133,23.6500083785503
471,130,8.1584947887121
444,126,-4.83018999773885
410,117,-7.30473076725349
574,163,-4.43485572306755
498,137,10.6386931650013
466,129,6.66132359209936
467,128,11.1641523954866
404,109,14.7178996598446
489,137,1.63869316500126
460,126,11.1698100022611
406,114,-0.796244357091702
438,127,-14.3330188011261
487,138,-3.864135638386
585,158,24.0792882938688
485,134,8.14717957516305
465,133,-8.34999162144969
391,111,-5.28775794692992
451,124,9.17546760903567
484,137,-3.36130683499874
402,111,5.71224205307008
495,137,7.63869316500126
432,122,-2.8188747841898
475,135,-5.35564922822421
423,119,-1.31038837402801
453,133,-20.3499916214497
441,120,13.1867828225847
464,128,8.16415239548662
458,131,-8.34433401467516
412,114,5.20375564290829
424,122,-10.8188747841898
554,152,14.0962611141923
422,120,-5.81321717741528
413,117,-4.30473076725349
409,111,12.7122420530701
431,120,3.18678282258472
425,117,7.69526923274651
464,129,4.66132359209936
